2021-09-07 14:06:58.314 INFO  [511494] Logger 0 Initialized
2021-09-07 14:37:58.464 INFO  [528685] Logger 0 Initialized
2021-09-07 15:43:24.962 INFO  [538517] Logger 0 Initialized
2021-09-07 15:50:57.817 INFO  [542784] Logger 0 Initialized
2021-09-07 15:51:49.034 INFO  [543372] Logger 0 Initialized
2021-09-07 15:53:28.222 INFO  [544287] Logger 0 Initialized
2021-09-07 15:53:51.971 INFO  [544603] Logger 0 Initialized
2021-09-07 15:54:38.413 INFO  [545312] Logger 0 Initialized
2021-09-07 15:55:40.435 INFO  [545893] Logger 0 Initialized
2021-09-07 16:06:55.005 INFO  [552120] Logger 0 Initialized
2021-09-07 16:08:46.262 INFO  [553016] Logger 0 Initialized
2021-09-07 16:09:54.546 INFO  [553736] Logger 0 Initialized
2021-09-07 16:11:37.252 INFO  [554949] Logger 0 Initialized
2021-09-07 16:13:18.042 INFO  [555768] Logger 0 Initialized
2021-09-07 16:14:05.947 INFO  [556142] Logger 0 Initialized
2021-09-07 18:39:56.407 INFO  [568670] Logger 0 Initialized
2021-09-07 18:49:41.689 INFO  [573359] Logger 0 Initialized
2021-09-07 18:56:19.593 INFO  [577140] Logger 0 Initialized
2021-09-07 18:56:44.570 INFO  [577511] Logger 0 Initialized
2021-09-07 18:57:10.976 INFO  [577922] Logger 0 Initialized
2021-09-07 18:57:59.353 INFO  [578399] Logger 0 Initialized
2021-09-07 18:59:08.903 INFO  [579117] Logger 0 Initialized
2021-09-07 19:00:31.439 INFO  [579941] Logger 0 Initialized
2021-09-07 19:01:17.411 INFO  [580449] Logger 0 Initialized
2021-09-07 19:02:09.850 INFO  [581137] Logger 0 Initialized
2021-09-07 19:02:39.072 INFO  [581673] Logger 0 Initialized
2021-09-07 19:03:23.593 INFO  [582494] Logger 0 Initialized
2021-09-07 19:06:25.769 INFO  [584419] Logger 0 Initialized
2021-09-07 19:08:06.889 INFO  [585359] Logger 0 Initialized
2021-09-07 19:08:35.912 INFO  [585748] Logger 0 Initialized
2021-09-07 19:08:47.937 INFO  [586099] Logger 0 Initialized
2021-09-07 19:13:50.402 INFO  [588681] Logger 0 Initialized
2021-09-07 19:15:03.975 INFO  [589500] Logger 0 Initialized
2021-09-07 19:15:11.310 INFO  [589785] Logger 0 Initialized
2021-09-07 19:24:42.760 INFO  [593610] Logger 0 Initialized
2021-09-07 19:27:53.486 INFO  [595504] Logger 0 Initialized
2021-09-07 19:28:33.495 INFO  [596278] Logger 0 Initialized
2021-09-07 19:30:21.445 INFO  [597614] Logger 0 Initialized
2021-09-07 19:32:40.054 INFO  [598699] Logger 0 Initialized
2021-09-07 19:32:59.235 INFO  [599016] Logger 0 Initialized
2021-09-07 19:33:59.655 INFO  [599600] Logger 0 Initialized
2021-09-07 19:35:47.651 INFO  [600382] Logger 0 Initialized
2021-09-07 19:37:12.183 INFO  [601200] Logger 0 Initialized
2021-09-07 19:38:00.707 INFO  [601721] Logger 0 Initialized
2021-09-07 19:38:18.952 INFO  [602090] Logger 0 Initialized
2021-09-07 19:44:50.085 INFO  [609691] Logger 0 Initialized
2021-09-07 19:45:40.287 INFO  [610363] Logger 0 Initialized
2021-09-07 19:47:24.846 INFO  [611744] Logger 0 Initialized
2021-09-07 20:26:58.346 INFO  [621206] Logger 0 Initialized
2021-09-07 20:27:03.721 INFO  [621386] Logger 0 Initialized
2021-09-07 20:45:02.044 INFO  [633973] Logger 0 Initialized
2021-09-07 20:49:52.394 INFO  [636854] Logger 0 Initialized
2021-09-07 20:51:00.110 INFO  [637595] Logger 0 Initialized
2021-09-07 20:51:17.593 INFO  [637824] Logger 0 Initialized
2021-09-07 20:51:48.695 INFO  [638325] Logger 0 Initialized
2021-09-07 20:52:22.284 INFO  [638782] Logger 0 Initialized
2021-09-07 20:53:05.132 INFO  [639353] Logger 0 Initialized
2021-09-07 20:57:05.441 INFO  [641131] Logger 0 Initialized
2021-09-07 20:57:28.021 INFO  [641646] Logger 0 Initialized
2021-09-07 21:00:16.161 INFO  [643171] Logger 0 Initialized
2021-09-07 21:00:38.148 INFO  [643544] Logger 0 Initialized
2021-09-07 21:02:19.843 INFO  [644734] Logger 0 Initialized
2021-09-07 21:03:18.654 INFO  [645435] Logger 0 Initialized
2021-09-07 21:12:47.181 INFO  [651292] Logger 0 Initialized
2021-09-07 21:24:03.058 INFO  [657063] Logger 0 Initialized
2021-09-07 21:26:39.972 INFO  [659127] Logger 0 Initialized
2021-09-07 21:31:49.893 INFO  [663058] Logger 0 Initialized
